,bike_id,bike_characteristics_string
0,15078,"неинтегрированная,начальный,начальный,прогулочный,начальный,квадрат,триггерныедвухрычажные,начальный,21,ободной(V-Brake),прогулочный,ободной(V-Brake),прогулочный,сподъемом,сталь,алюминиевыйсплав,есть,металл,26дюймов,прогулочный,75мм,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-эластомерная,11/8"""
1,15079,"неинтегрированная,прогулочный,17.5см,квадрат,1,отсутствует,ободной(V-Brake),прогулочный,сподъемом,20дюймов,алюминиевыйсплав,есть,металл,хроммолибденовыйсплав,отсутствует,жесткая,11/8"""
2,15080,"неинтегрированная,начальный,прогулочный,прогулочный,прогулочный,квадрат,триггерныедвухрычажные,начальный,24,дисковый(механический),прогулочный,дисковый(механический),прогулочный,сподъемом,сталь,26дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-эластомерная,11/8"",прогулочный,63мм"
3,15081,"неинтегрированная,прогулочный,любительский,прогулочный,любительский,квадрат,триггерныедвухрычажные,прогулочный,27,прогулочный,ободной(V-Brake),прогулочный,ободной(V-Brake),сподъемом,сталь,металл,есть,алюминиевыйсплав,26дюймов,100мм,любительский,11/8"",пружинно-масляная,алюминиевыйсплав,Hardtail(самортизационнойвилкой)"
4,15082,"интегрированная,прогулочный,прогулочный,прогулочный,прогулочный,триггерныедвухрычажные,прогулочный,27,дисковый(гидравлический),любительский,дисковый(гидравлический),любительский,сподъемом,сталь,26дюймов,алюминиевыйсплав,есть,кевлар,алюминиевыйсплав,Fullsuspension(двухподвесный),воздушно-масляная,11/8"",профессиональный,140мм,152мм"
5,15083,"горный(MTB),длявзрослых,26дюймов,63"
6,15084,30
7,15085,"неинтегрированная,прогулочный,прогулочный,прогулочный,17.5см,любительский,триггерныедвухрычажные,прогулочный,27,дисковый(гидравлический),любительский,дисковый(гидравлический),любительский,сподъемом,сталь,26дюймов,алюминиевыйсплав,есть,кевлар,алюминиевыйсплав,Fullsuspension(двухподвесный),воздушно-масляная,11/8"",любительский,140мм,152мм"
8,15086,"неинтегрированная,прогулочный,17.5см,квадрат,1,ободной(клещевой),прогулочный,ободной(клещевой),прогулочный,сподъемом,сталь,20дюймов,алюминиевыйсплав,есть,металл,жесткая,11/8"",хроммолибденовыйсплав,отсутствует"
9,15087,"неинтегрированная,прогулочный,любительский,прогулочный,17.5см,любительский,квадрат,триггерныедвухрычажные,прогулочный,27,дисковый(гидравлический),любительский,дисковый(гидравлический),любительский,сподъемом,хроммолибденовыйсплав,26дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-масляная,11/8"",любительский,100мм"
10,15088,"горный(MTB),длявзрослых,любительский,прогулочный,9,профессиональный,дисковый(гидравлический),профессиональный,дисковый(гидравлический),есть,алюминиевыйсплав,26дюймов,200,профессиональный,210"
11,15089,"интегрированная,любительский,любительский,любительский,триггерныедвухрычажные,любительский,9,дисковый(гидравлический),профессиональный,дисковый(гидравлический),профессиональный,сподъемом,26дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),воздушно-масляная,11/8"",любительский,100мм"
12,15090,"неинтегрированная,прогулочный,любительский,прогулочный,триггерныедвухрычажные,прогулочный,24,ободной(V-Brake),прогулочный,ободной(V-Brake),прогулочный,сподъемом,26дюймов,алюминиевыйсплав,есть,металл,Hardtail(самортизационнойвилкой),пружинно-эластомерная,11/8"",прогулочный,100мм,алюминиевыйсплав"
13,15091,"неинтегрированная,прогулочный,прогулочный,прогулочный,прогулочный,квадрат,триггерныедвухрычажные,прогулочный,24,прогулочный,дисковый(механический),прогулочный,дисковый(механический),сподъемом,сталь,26дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-эластомерная,11/8"",прогулочный,100мм"
